index,District_Name,Crop_Year,Season,Crop,Area,Production
0,BAGALKOT,1998,Kharif ,Arhar/Tur,6154,2602
1,BAGALKOT,1998,Kharif ,Bajra,48855,52375
2,BAGALKOT,1998,Kharif ,Castor seed,71,61
3,BAGALKOT,1998,Kharif ,Cotton(lint),15225,22129
4,BAGALKOT,1998,Kharif ,Groundnut,16368,7734
5,BAGALKOT,1998,Kharif ,Horse-gram,3372,1156
6,BAGALKOT,1998,Kharif ,Jowar,12363,24855
7,BAGALKOT,1998,Kharif ,Maize,30630,92831
8,BAGALKOT,1998,Kharif ,Moong(Green Gram),13872,1147
9,BAGALKOT,1998,Kharif ,Niger seed,310,47
10,BAGALKOT,1998,Kharif ,Onion,3090,14100
11,BAGALKOT,1998,Kharif ,Rapeseed &Mustard,51,7
12,BAGALKOT,1998,Kharif ,Rice,197,316
13,BAGALKOT,1998,Kharif ,Sesamum,2395,937
14,BAGALKOT,1998,Kharif ,Soyabean,5221,3854
15,BAGALKOT,1998,Kharif ,Sunflower,36785,13374
16,BAGALKOT,1998,Rabi ,Gram,17835,15170
17,BAGALKOT,1998,Rabi ,Groundnut,15849,24166
18,BAGALKOT,1998,Rabi ,Horse-gram,2098,608
19,BAGALKOT,1998,Rabi ,Jowar,152540,120840
20,BAGALKOT,1998,Rabi ,Linseed,4667,1667
21,BAGALKOT,1998,Rabi ,Maize,10520,24026
22,BAGALKOT,1998,Rabi ,Onion,1226,16070
23,BAGALKOT,1998,Rabi ,Safflower,4590,3570
24,BAGALKOT,1998,Rabi ,Sunflower,41359,16619
25,BAGALKOT,1998,Rabi ,Wheat,22207,28030
26,BAGALKOT,1998,Summer ,Maize,2252,5016
27,BAGALKOT,1998,Summer ,Onion,1032,15017
28,BAGALKOT,1998,Summer ,Sunflower,2262,1195
29,BAGALKOT,1998,Whole Year,Arecanut,1,7
30,BAGALKOT,1998,Whole Year,Coconut ,571,2728
31,BAGALKOT,1998,Whole Year,Coriander,43,4
32,BAGALKOT,1998,Whole Year,Dry chillies,619,816
33,BAGALKOT,1998,Whole Year,Garlic,30,25
34,BAGALKOT,1998,Whole Year,Turmeric,305,1872
35,BAGALKOT,1999,Kharif ,Arhar/Tur,5126,3589
36,BAGALKOT,1999,Kharif ,Bajra,41122,29929
37,BAGALKOT,1999,Kharif ,Castor seed,48,37
38,BAGALKOT,1999,Kharif ,Cotton(lint),11979,18434
39,BAGALKOT,1999,Kharif ,Groundnut,13284,7326
40,BAGALKOT,1999,Kharif ,Horse-gram,2555,607
41,BAGALKOT,1999,Kharif ,Jowar,11598,21354
42,BAGALKOT,1999,Kharif ,Maize,30462,101371
43,BAGALKOT,1999,Kharif ,Mesta,9,17
44,BAGALKOT,1999,Kharif ,Moong(Green Gram),18730,6423
45,BAGALKOT,1999,Kharif ,Niger seed,347,53
46,BAGALKOT,1999,Kharif ,Other Kharif pulses,21091,3696
47,BAGALKOT,1999,Kharif ,Rice,128,202
48,BAGALKOT,1999,Kharif ,Sesamum,1354,607
49,BAGALKOT,1999,Kharif ,Small millets,540,190
50,BAGALKOT,1999,Kharif ,Soyabean,5098,4262
51,BAGALKOT,1999,Kharif ,Sunflower,26250,14837
52,BAGALKOT,1999,Rabi ,Gram,18807,12599
53,BAGALKOT,1999,Rabi ,Groundnut,15530,20537
54,BAGALKOT,1999,Rabi ,Horse-gram,3584,538
55,BAGALKOT,1999,Rabi ,Jowar,160974,147679
56,BAGALKOT,1999,Rabi ,Linseed,5667,1647
57,BAGALKOT,1999,Rabi ,Maize,15401,41391
58,BAGALKOT,1999,Rabi ,Other  Rabi pulses,1598,202
59,BAGALKOT,1999,Rabi ,Rapeseed &Mustard,74,11
60,BAGALKOT,1999,Rabi ,Safflower,3926,2828
61,BAGALKOT,1999,Rabi ,Sunflower,24177,15169
62,BAGALKOT,1999,Rabi ,Wheat,21584,29875
63,BAGALKOT,1999,Summer ,Maize,416,760
64,BAGALKOT,1999,Summer ,Sunflower,1527,1065
65,BAGALKOT,1999,Whole Year,Banana,954,23628
66,BAGALKOT,1999,Whole Year,Coconut ,1283,6130
67,BAGALKOT,1999,Whole Year,Coriander,31,3
68,BAGALKOT,1999,Whole Year,Dry chillies,579,595
69,BAGALKOT,1999,Whole Year,Garlic,30,25
70,BAGALKOT,1999,Whole Year,Onion,3614,52778
71,BAGALKOT,1999,Whole Year,Sugarcane,53888,6143232
72,BAGALKOT,1999,Whole Year,Sweet potato,51,162
73,BAGALKOT,1999,Whole Year,Turmeric,310,1684
74,BAGALKOT,2000,Kharif ,Arhar/Tur,4984,3693
75,BAGALKOT,2000,Kharif ,Bajra,41232,41300
76,BAGALKOT,2000,Kharif ,Castor seed,52,67
77,BAGALKOT,2000,Kharif ,Cotton(lint),15767,23002
78,BAGALKOT,2000,Kharif ,Groundnut,14487,9664
79,BAGALKOT,2000,Kharif ,Horse-gram,2359,2902
80,BAGALKOT,2000,Kharif ,Jowar,11375,22359
81,BAGALKOT,2000,Kharif ,Maize,31263,99110
82,BAGALKOT,2000,Kharif ,Mesta,9,17
83,BAGALKOT,2000,Kharif ,Moong(Green Gram),23658,10069
84,BAGALKOT,2000,Kharif ,Niger seed,435,66
85,BAGALKOT,2000,Kharif ,Other Kharif pulses,2961,1001
86,BAGALKOT,2000,Kharif ,Rice,171,311
87,BAGALKOT,2000,Kharif ,Sesamum,1981,969
88,BAGALKOT,2000,Kharif ,Small millets,1142,723
89,BAGALKOT,2000,Kharif ,Soyabean,4743,4749
90,BAGALKOT,2000,Kharif ,Sunflower,25378,16262
91,BAGALKOT,2000,Rabi ,Gram,16454,9834
92,BAGALKOT,2000,Rabi ,Groundnut,11875,17305
93,BAGALKOT,2000,Rabi ,Horse-gram,1530,490
94,BAGALKOT,2000,Rabi ,Jowar,132473,94603
95,BAGALKOT,2000,Rabi ,Linseed,4647,1377
96,BAGALKOT,2000,Rabi ,Maize,17492,47659
97,BAGALKOT,2000,Rabi ,Other  Rabi pulses,677,90
98,BAGALKOT,2000,Rabi ,Rapeseed &Mustard,74,11
99,BAGALKOT,2000,Rabi ,Safflower,3296,3023
100,BAGALKOT,2000,Rabi ,Sunflower,36375,20518
101,BAGALKOT,2000,Rabi ,Wheat,23969,37181
102,BAGALKOT,2000,Summer ,Maize,3129,8799
103,BAGALKOT,2000,Summer ,Sunflower,2901,2163
104,BAGALKOT,2000,Whole Year,Arecanut,4,6
105,BAGALKOT,2000,Whole Year,Banana,872,14647
106,BAGALKOT,2000,Whole Year,Coconut ,1312,6268
107,BAGALKOT,2000,Whole Year,Coriander,34,3
108,BAGALKOT,2000,Whole Year,Dry chillies,756,654
109,BAGALKOT,2000,Whole Year,Garlic,27,22
110,BAGALKOT,2000,Whole Year,Onion,3819,33520
111,BAGALKOT,2000,Whole Year,Sannhamp,35,9
112,BAGALKOT,2000,Whole Year,Sugarcane,62050,7014752
113,BAGALKOT,2000,Whole Year,Sweet potato,51,162
114,BAGALKOT,2000,Whole Year,Turmeric,301,1476
115,BAGALKOT,2001,Kharif ,Arhar/Tur,1502,925
116,BAGALKOT,2001,Kharif ,Bajra,15169,11519
117,BAGALKOT,2001,Kharif ,Castor seed,19,14
118,BAGALKOT,2001,Kharif ,Cotton(lint),14104,22539
119,BAGALKOT,2001,Kharif ,Groundnut,14509,17691
120,BAGALKOT,2001,Kharif ,Horse-gram,1370,1606
121,BAGALKOT,2001,Kharif ,Jowar,6786,12064
122,BAGALKOT,2001,Kharif ,Maize,21340,66431
123,BAGALKOT,2001,Kharif ,Mesta,5,10
124,BAGALKOT,2001,Kharif ,Moong(Green Gram),2301,501
125,BAGALKOT,2001,Kharif ,Niger seed,164,25
126,BAGALKOT,2001,Kharif ,Other Kharif pulses,450,151
127,BAGALKOT,2001,Kharif ,Rice,171,411
128,BAGALKOT,2001,Kharif ,Sesamum,897,581
129,BAGALKOT,2001,Kharif ,Small millets,43,16
130,BAGALKOT,2001,Kharif ,Soyabean,410,303
131,BAGALKOT,2001,Kharif ,Sunflower,8560,6843
132,BAGALKOT,2001,Rabi ,Gram,25681,17984
133,BAGALKOT,2001,Rabi ,Horse-gram,9429,5554
134,BAGALKOT,2001,Rabi ,Jowar,170489,125015
135,BAGALKOT,2001,Rabi ,Linseed,6261,2641
136,BAGALKOT,2001,Rabi ,Maize,15597,43755
137,BAGALKOT,2001,Rabi ,Other  Rabi pulses,660,88
